=== start a 12:04 ===
    K      N     M   wMiB   w/L2  A MiB |  sw1 TF  sw8 TF |   gain8% | ident
 2560  14336  6144   35.0  1.458   15.0 |   150.8   151.4 |     +0.4 | True
 2560  14336  8192   35.0  1.458   20.0 |    96.1   151.4 |    +57.5 | True
 2560  20480  2048   50.0  2.083    5.0 |   155.3   151.8 |     -2.2 | True
 2560  20480  3072   50.0  2.083    7.5 |   154.2   154.6 |     +0.2 | True
 2560  20480  4096   50.0  2.083   10.0 |   155.9   152.4 |     -2.2 | True
 2560  20480  6144   50.0  2.083   15.0 |   130.3   150.5 |    +15.5 | True
 2560  20480  8192   50.0  2.083   20.0 |    96.9   151.6 |    +56.6 | True
 4096   1280  2048    5.0  0.208    8.0 |   155.4   155.4 |     +0.0 | True
 4096   1280  3072    5.0  0.208   12.0 |   185.3   185.8 |     +0.2 | True
 4096   1280  4096    5.0  0.208   16.0 |   172.7   173.7 |     +0.6 | True
 4096   1280  6144    5.0  0.208   24.0 |   183.2   181.8 |     -0.8 | True
 4096   1280  8192    5.0  0.208   32.0 |   176.0   168.6 |     -4.2 | True
 4096   2560  2048   10.0  0.417    8.0 |   171.0   171.3 |     +0.2 | True
 4096   2560  3072   10.0  0.417   12.0 |   182.2   167.1 |     -8.3 | True
 4096   2560  4096   10.0  0.417   16.0 |   175.2   162.0 |     -7.5 | True
 4096   2560  6144   10.0  0.417   24.0 |   175.8   162.2 |     -7.7 | True
 4096   2560  8192   10.0  0.417   32.0 |   172.5   165.0 |     -4.3 | True
 4096   3840  2048   15.0  0.625    8.0 |   179.5   172.2 |     -4.1 | True
 4096   3840  3072   15.0  0.625   12.0 |   176.9   160.8 |     -9.1 | True
 4096   3840  4096   15.0  0.625   16.0 |   165.0   162.2 |     -1.7 | True
 4096   3840  6144   15.0  0.625   24.0 |   167.5   164.8 |     -1.7 | True
 4096   3840  8192   15.0  0.625   32.0 |   164.1   166.4 |     +1.4 | True
 4096   5120  2048   20.0  0.833    8.0 |   171.2   164.3 |     -4.0 | True
 4096   5120  3072   20.0  0.833   12.0 |   178.5   161.0 |     -9.8 | True
 4096   5120  4096   20.0  0.833   16.0 |   153.0   159.3 |     +4.2 | True
 4096   5120  6144   20.0  0.833   24.0 |   144.5   165.5 |    +14.6 | True
 4096   5120  8192   20.0  0.833   32.0 |   128.3   165.0 |    +28.6 | True
 4096   7168  2048   28.0  1.167    8.0 |   167.6   163.3 |     -2.6 | True
 4096   7168  3072   28.0  1.167   12.0 |   163.6   161.5 |     -1.3 | True
 4096   7168  4096   28.0  1.167   16.0 |   152.1   161.6 |     +6.2 | True
 4096   7168  6144   28.0  1.167   24.0 |    62.7   167.6 |   +167.4 | True
 4096   7168  8192   28.0  1.167   32.0 |    61.6   169.5 |   +175.4 | True
 4096  10240  2048   40.0  1.667    8.0 |   165.8   166.9 |     +0.7 | True
 4096  10240  3072   40.0  1.667   12.0 |   164.1   162.7 |     -0.9 | True
 4096  10240  4096   40.0  1.667   16.0 |   156.1   161.8 |     +3.6 | True
