=== start a 11:57 ===
    K      N   w/L2     M  A MiB |  sw1 TF  sw8 TF | best   gain8% | ident
 5120   3456  0.703  2048   10.0 |   186.1   176.8 |    1     -5.0 | True
 5120   3456  0.703  4096   20.0 |   173.1   173.5 |    8     +0.2 | True
 5120   3456  0.703  6144   30.0 |   170.1   169.1 |    1     -0.6 | True
 5120   4224  0.859  2048   10.0 |   169.4   166.6 |    1     -1.6 | True
 5120   4224  0.859  4096   20.0 |   114.4   154.9 |    8    +35.5 | True
 5120   4224  0.859  6144   30.0 |   117.3   171.2 |    8    +45.9 | True
 5120   4480  0.911  2048   10.0 |   181.7   163.4 |    1    -10.0 | True
 5120   4480  0.911  4096   20.0 |   115.6   152.9 |    8    +32.3 | True
 5120   4480  0.911  6144   30.0 |   109.2   171.0 |    8    +56.6 | True
 5120   4736  0.964  2048   10.0 |   177.7   163.2 |    1     -8.1 | True
 5120   4736  0.964  4096   20.0 |   118.1   151.3 |    8    +28.2 | True
 5120   4736  0.964  6144   30.0 |    91.8   171.3 |    8    +86.5 | True
 5120   4864  0.990  2048   10.0 |   182.3   158.5 |    1    -13.0 | True
 5120   4864  0.990  4096   20.0 |   110.0   150.5 |    8    +36.8 | True
 5120   4864  0.990  6144   30.0 |    88.5   165.1 |    8    +86.5 | True
 5120   4992  1.016  2048   10.0 |   175.1   167.8 |    1     -4.1 | True
 5120   4992  1.016  4096   20.0 |   119.7   150.4 |    8    +25.6 | True
 5120   4992  1.016  6144   30.0 |   111.7   171.0 |    8    +53.0 | True
 5120   5120  1.042  2048   10.0 |   167.8   162.8 |    1     -3.0 | True
 5120   5120  1.042  4096   20.0 |   111.4   164.5 |    8    +47.8 | True
 5120   5120  1.042  6144   30.0 |   106.4   169.6 |    8    +59.4 | True
 5120   5376  1.094  2048   10.0 |   175.0   163.9 |    1     -6.3 | True
 5120   5376  1.094  4096   20.0 |   110.7   158.9 |    8    +43.5 | True
 5120   5376  1.094  6144   30.0 |    93.8   171.2 |    8    +82.5 | True
 5120   6400  1.302  2048   10.0 |   179.2   163.5 |    1     -8.8 | True
 5120   6400  1.302  4096   20.0 |   117.8   159.9 |    8    +35.7 | True
 5120   6400  1.302  6144   30.0 |    54.1   159.5 |    8   +194.8 | True
 5120   8320  1.693  2048   10.0 |   176.3   168.0 |    1     -4.7 | True
 5120   8320  1.693  4096   20.0 |   121.9   161.8 |    8    +32.7 | True
 5120   8320  1.693  6144   30.0 |    53.7   164.4 |    8   +206.0 | True
== ALL DONE ==
== RUNNER DONE == 11:58
